"","Date","Code","Level","Sector","QoQ","YoY"
"71",1990-12-31,"Q",15830,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2.14221189830945,NA
"72",1990-12-31,"R",4917,"ARTS, ENTERTAINMENT AND RECREATION",1.0688591983556,NA
"73",1990-12-31,"S",5178,"OTHER SERVICE ACTIVITIES",1.17233294255567,NA
"74",1990-12-31,"T",780,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",0.905562742561443,NA
"75",1990-12-31,"DE",8358,NA,0.67453625632379,NA
"76",1990-12-31,"AB",10749,NA,0.740393626991562,NA
"77",1991-03-31,"TOTAL",274540,NA,-0.427970404758454,-1.03528326099809
"78",1991-03-31,"C",43474,"MANUFACTURING",-2.05690855430643,-3.82496736942238
"79",1991-03-31,"F",24614,"CONSTRUCTION",-4.34478470387066,-7.9575200059831
"80",1991-03-31,"G",27037,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",-0.132973811546549,-3.12444014475616
"81",1991-03-31,"H",10417,"TRANSPORTATION AND STORAGE",-2.43514095719772,-4.09685140858038
"82",1991-03-31,"I",9639,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-1.50214592274678,-3.97489539748955
"83",1991-03-31,"J",8210,"INFORMATION AND COMMUNICATION",-1.65309056061332,-3.19537790354912
"84",1991-03-31,"K",15657,"FINANCIAL AND INSURANCE ACTIVITIES",1.05854256761117,2.38017393578762
"85",1991-03-31,"L",32452,"REAL ESTATE ACTIVITIES",-0.24284528603485,0.486143365846118
"86",1991-03-31,"M",11689,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0,0.42959017097688
"87",1991-03-31,"N",7504,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.172941332978581,0.0399946673776697
"88",1991-03-31,"O",26597,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",1.88469641831065,2.59604999228513
"89",1991-03-31,"P",22459,"EDUCATION",1.46374519990964,2.72606687096922
"90",1991-03-31,"Q",16201,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2.34365129500948,4.99675955930006
"91",1991-03-31,"R",4857,"ARTS, ENTERTAINMENT AND RECREATION",-1.2202562538133,-1.05927887553473
"92",1991-03-31,"S",5125,"OTHER SERVICE ACTIVITIES",-1.02356122054847,-1.15718418514948
"93",1991-03-31,"T",772,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",-1.02564102564102,-1.27877237851662
"94",1991-03-31,"DE",8312,NA,-0.5503709021297,6.305154111779
"95",1991-03-31,"AB",11201,NA,4.20504232951902,1.53190717911531
"96",1991-06-30,"TOTAL",274579,NA,0.0142055802433276,-1.42205787319595
"97",1991-06-30,"C",42705,"MANUFACTURING",-1.76887334958826,-6.12428832076675
"98",1991-06-30,"F",24575,"CONSTRUCTION",-0.158446412610715,-7.09235945710938
"99",1991-06-30,"G",26909,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",-0.473425306062055,-3.65901686298378
"100",1991-06-30,"H",10513,"TRANSPORTATION AND STORAGE",0.921570509743688,-2.63036028526442
"101",1991-06-30,"I",9470,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-1.75329391015666,-6.40442775252026
"102",1991-06-30,"J",8267,"INFORMATION AND COMMUNICATION",0.694275274056039,-2.07296849087894
"103",1991-06-30,"K",15608,"FINANCIAL AND INSURANCE ACTIVITIES",-0.31295905984544,1.93312434691745
"104",1991-06-30,"L",32302,"REAL ESTATE ACTIVITIES",-0.462221126586954,-0.661192606944056
"105",1991-06-30,"M",11652,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-0.316536915048331,-0.188452972417338
"106",1991-06-30,"N",7475,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.386460554370998,-0.651249335459852
"107",1991-06-30,"O",26748,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",0.567733202992812,3.1466913465988
"108",1991-06-30,"P",22695,"EDUCATION",1.05080368671801,3.91483516483517
"109",1991-06-30,"Q",16679,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2.95043515832356,8.27707089067775
"110",1991-06-30,"R",4922,"ARTS, ENTERTAINMENT AND RECREATION",1.33827465513691,0.24439918533605
"111",1991-06-30,"S",5188,"OTHER SERVICE ACTIVITIES",1.22926829268293,0.173778721760968
"112",1991-06-30,"T",784,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",1.55440414507773,0.384122919334189
"113",1991-06-30,"DE",8673,NA,4.34311838306063,5.01271340355976
"114",1991-06-30,"AB",11184,NA,-0.151772163199709,-2.51046025104603
"115",1991-09-30,"TOTAL",274574,NA,-0.00182096955703059,-0.583304668971891
"116",1991-09-30,"C",42273,"MANUFACTURING",-1.01159114857745,-5.98269688410471
"117",1991-09-30,"F",24393,"CONSTRUCTION",-0.740590030518817,-5.88757282302558
"118",1991-09-30,"G",27265,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1.32297744249136,-0.713739485087942
"119",1991-09-30,"H",10562,"TRANSPORTATION AND STORAGE",0.466089603348237,-1.34504016439379
"120",1991-09-30,"I",9246,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-2.36536430834214,-7.28968214178282
"121",1991-09-30,"J",8277,"INFORMATION AND COMMUNICATION",0.120962864400624,-1.04017216642754
"122",1991-09-30,"K",15599,"FINANCIAL AND INSURANCE ACTIVITIES",-0.0576627370579104,2.0476252780322
"123",1991-09-30,"L",32246,"REAL ESTATE ACTIVITIES",-0.173363878397623,-0.78153846153846
"124",1991-09-30,"M",11626,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-0.223137658771023,-0.40263856763471
"125",1991-09-30,"N",7460,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.200668896321062,-0.771481777068374
"126",1991-09-30,"O",26953,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",0.766412442051731,4.1380109728769
"127",1991-09-30,"P",22995,"EDUCATION",1.32187706543291,4.94728675094703
"128",1991-09-30,"Q",16948,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1.61280652317286,9.35604594141179
"129",1991-09-30,"R",4952,"ARTS, ENTERTAINMENT AND RECREATION",0.609508329947175,1.78828365878725
"130",1991-09-30,"S",5207,"OTHER SERVICE ACTIVITIES",0.366229760986897,1.73896053145759
"131",1991-09-30,"T",786,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",0.25510204081634,1.68175937904269
"132",1991-09-30,"DE",8174,NA,-5.75348783581229,-1.54179715731149
"133",1991-09-30,"AB",11718,NA,4.77467811158799,9.82193064667291
"134",1991-12-31,"TOTAL",274987,NA,0.150414824418903,-0.265849412447409
"135",1991-12-31,"C",42513,"MANUFACTURING",0.5677382726563,-4.22195687926646
"136",1991-12-31,"F",24064,"CONSTRUCTION",-1.34874759152216,-6.48220115031867
"137",1991-12-31,"G",27288,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0.0843572345497847,0.794149152291951
"138",1991-12-31,"H",10641,"TRANSPORTATION AND STORAGE",0.747964400681695,-0.337173363304302
"139",1991-12-31,"I",9206,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-0.432619511139947,-5.92683425301452
"140",1991-12-31,"J",8294,"INFORMATION AND COMMUNICATION",0.20538842575813,-0.646861523718258
"141",1991-12-31,"K",15338,"FINANCIAL AND INSURANCE ACTIVITIES",-1.67318417847298,-1.00045181694959
"142",1991-12-31,"L",32118,"REAL ESTATE ACTIVITIES",-0.396948458723571,-1.2695582674987
"143",1991-12-31,"M",11572,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-0.464476174092553,-1.00094105569339
"144",1991-12-31,"N",7438,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.294906166219846,-1.05095117733138
"145",1991-12-31,"O",26799,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",-0.571364968649135,2.65849454127563
"146",1991-12-31,"P",23396,"EDUCATION",1.74385736029572,5.69686017619155
"147",1991-12-31,"Q",17099,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",0.890960585319817,8.01642451042324
"148",1991-12-31,"R",4971,"ARTS, ENTERTAINMENT AND RECREATION",0.383683360258487,1.09823062843198
"149",1991-12-31,"S",5221,"OTHER SERVICE ACTIVITIES",0.268868830420587,0.83043646195442
"150",1991-12-31,"T",790,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",0.5089058524173,1.28205128205127
"151",1991-12-31,"DE",8474,NA,3.67017372155615,1.38789184015316
"152",1991-12-31,"AB",11865,NA,1.25448028673836,10.3823611498744
"153",1992-03-31,"TOTAL",274592,NA,-0.143643154040006,0.0189407736577607
"154",1992-03-31,"C",42657,"MANUFACTURING",0.338719920965346,-1.87928416984865
"155",1992-03-31,"F",23509,"CONSTRUCTION",-2.30634973404256,-4.48931502397009
"156",1992-03-31,"G",27427,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0.509381413075346,1.44246772940787
"157",1992-03-31,"H",10735,"TRANSPORTATION AND STORAGE",0.883375622591871,3.05270231352597
"158",1992-03-31,"I",8931,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-2.98718227243103,-7.34516028633676
"159",1992-03-31,"J",8293,"INFORMATION AND COMMUNICATION",-0.0120569086086419,1.0109622411693
"160",1992-03-31,"K",14968,"FINANCIAL AND INSURANCE ACTIVITIES",-2.41230929717042,-4.40058759660215
"161",1992-03-31,"L",32226,"REAL ESTATE ACTIVITIES",0.336260041098456,-0.696413164057688
"162",1992-03-31,"M",11451,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-1.04562737642586,-2.03610231841903
"163",1992-03-31,"N",7381,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.766335036300077,-1.63912579957356
"164",1992-03-31,"O",26923,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",0.462703832232549,1.22570214685867
"165",1992-03-31,"P",23758,"EDUCATION",1.54727303812618,5.78387283494368
"166",1992-03-31,"Q",17273,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1.01760336861804,6.61687550151224
"167",1992-03-31,"R",4953,"ARTS, ENTERTAINMENT AND RECREATION",-0.362100181050096,1.97652872143298
"168",1992-03-31,"S",5182,"OTHER SERVICE ACTIVITIES",-0.746983336525574,1.11219512195122
"169",1992-03-31,"T",785,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",-0.632911392405063,1.6839378238342
"170",1992-03-31,"DE",8405,NA,-0.814255369365114,1.11886429258902
"171",1992-03-31,"AB",11831,NA,-0.286557100716394,5.6244978126953
"172",1992-06-30,"TOTAL",274741,NA,0.0542623237384845,0.0589994136477969
"173",1992-06-30,"C",42657,"MANUFACTURING",0,-0.112399016508604
"174",1992-06-30,"F",23357,"CONSTRUCTION",-0.646560891573444,-4.95625635808749
"175",1992-06-30,"G",27904,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1.73916213949758,3.69764762718793
"176",1992-06-30,"H",10767,"TRANSPORTATION AND STORAGE",0.298090358639968,2.41605631123372
"177",1992-06-30,"I",9040,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1.22046803269511,-4.54065469904963
"178",1992-06-30,"J",8280,"INFORMATION AND COMMUNICATION",-0.156758712166877,0.157251723720805
"179",1992-06-30,"K",15036,"FINANCIAL AND INSURANCE ACTIVITIES",0.454302512025649,-3.66478728856995
"180",1992-06-30,"L",32233,"REAL ESTATE ACTIVITIES",0.0217215912617235,-0.213609064454218
"181",1992-06-30,"M",11423,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-0.244520129246354,-1.96532784071404
"182",1992-06-30,"N",7372,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.121934697195499,-1.37792642140468
"183",1992-06-30,"O",26742,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",-0.672287635107523,-0.0224315836697997
"184",1992-06-30,"P",23846,"EDUCATION",0.370401548951932,5.07160167437762
"185",1992-06-30,"Q",17256,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",-0.0984194986394868,3.45944001438936
"186",1992-06-30,"R",4918,"ARTS, ENTERTAINMENT AND RECREATION",-0.706642438925911,-0.0812677773262891
"187",1992-06-30,"S",5155,"OTHER SERVICE ACTIVITIES",-0.52103434967195,-0.636083269082505
"188",1992-06-30,"T",780,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",-0.636942675159233,-0.510204081632651
"189",1992-06-30,"DE",8353,NA,-0.618679357525281,-3.68961143779546
"190",1992-06-30,"AB",11460,NA,-3.13582960020285,2.46781115879828
"191",1992-09-30,"TOTAL",276587,NA,0.671905540126886,0.733135693838463
"192",1992-09-30,"C",42801,"MANUFACTURING",0.337576482171741,1.24902419984387
"193",1992-09-30,"F",23240,"CONSTRUCTION",-0.500920494926575,-4.72676587545607
"194",1992-09-30,"G",28599,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2.49068233944953,4.89271960388777
"195",1992-09-30,"H",10815,"TRANSPORTATION AND STORAGE",0.445806631373642,2.39537966294263
"196",1992-09-30,"I",8938,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",-1.1283185840708,-3.33117023577763
"197",1992-09-30,"J",8311,"INFORMATION AND COMMUNICATION",0.374396135265712,0.410776851516246
"198",1992-09-30,"K",15114,"FINANCIAL AND INSURANCE ACTIVITIES",0.518754988028732,-3.10917366497853
"199",1992-09-30,"L",32442,"REAL ESTATE ACTIVITIES",0.648403809760197,0.607827327420466
"200",1992-09-30,"M",11441,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.157576818699127,-1.59126096679856
"201",1992-09-30,"N",7389,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",0.230602278893116,-0.951742627345837
"202",1992-09-30,"O",26655,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",-0.325330940094233,-1.1056283159574
"203",1992-09-30,"P",23782,"EDUCATION",-0.268388828315025,3.42248314851055
"204",1992-09-30,"Q",17241,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",-0.0869262865090406,1.72881755959405
"205",1992-09-30,"R",4987,"ARTS, ENTERTAINMENT AND RECREATION",1.40300935339567,0.706785137318249
"206",1992-09-30,"S",5236,"OTHER SERVICE ACTIVITIES",1.57129000969931,0.556942577299793
"207",1992-09-30,"T",790,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",1.28205128205127,0.5089058524173
"208",1992-09-30,"DE",8691,NA,4.04645037711002,6.32493271348179
"209",1992-09-30,"AB",11807,NA,3.02792321116929,0.759515275644304
"210",1992-12-31,"TOTAL",278395,NA,0.653682204875878,1.23933131384393
"211",1992-12-31,"C",42705,"MANUFACTURING",-0.224293824910632,0.451626561287142
"212",1992-12-31,"F",22840,"CONSTRUCTION",-1.72117039586919,-5.08643617021278
"213",1992-12-31,"G",29194,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2.08049232490646,6.98475520375257
"214",1992-12-31,"H",11062,"TRANSPORTATION AND STORAGE",2.28386500231161,3.95639507565078
"215",1992-12-31,"I",8971,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",0.369210114119497,-2.55268303280469
"216",1992-12-31,"J",8405,"INFORMATION AND COMMUNICATION",1.13103116351823,1.33831685555823
"217",1992-12-31,"K",15087,"FINANCIAL AND INSURANCE ACTIVITIES",-0.178642318380312,-1.63645846916157
"218",1992-12-31,"L",32722,"REAL ESTATE ACTIVITIES",0.863078725109418,1.88056541503208
"219",1992-12-31,"M",11480,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.340879293768026,-0.795022468026275
"220",1992-12-31,"N",7429,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",0.541345242928685,-0.121000268889475
"221",1992-12-31,"O",26571,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",-0.315137872819363,-0.850778014105003
"222",1992-12-31,"P",23856,"EDUCATION",0.311159700613899,1.96614805949736
"223",1992-12-31,"Q",17289,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",0.278406124934747,1.11117609216913
"224",1992-12-31,"R",5139,"ARTS, ENTERTAINMENT AND RECREATION",3.04792460397032,3.37960168980085
"225",1992-12-31,"S",5388,"OTHER SERVICE ACTIVITIES",2.9029793735676,3.19862095384028
"226",1992-12-31,"T",813,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",2.91139240506328,2.91139240506328
"227",1992-12-31,"DE",8847,NA,1.79496030376252,4.40169931555346
"228",1992-12-31,"AB",12167,NA,3.04903870585247,2.54530130636326
"229",1993-03-31,"TOTAL",280162,NA,0.634709675101931,2.02846404847921
"230",1993-03-31,"C",43330,"MANUFACTURING",1.46352886078913,1.57770119792767
"231",1993-03-31,"F",22899,"CONSTRUCTION",0.258318739054289,-2.59475094644604
"232",1993-03-31,"G",29909,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2.44913338357198,9.04947679294126
"233",1993-03-31,"H",11004,"TRANSPORTATION AND STORAGE",-0.524317483276079,2.50582207731718
"234",1993-03-31,"I",8995,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",0.26752870360049,0.716605083417306
"235",1993-03-31,"J",8452,"INFORMATION AND COMMUNICATION",0.559190957763249,1.91727963342578
"236",1993-03-31,"K",15309,"FINANCIAL AND INSURANCE ACTIVITIES",1.47146550009943,2.27819347942277
"237",1993-03-31,"L",33072,"REAL ESTATE ACTIVITIES",1.06961677159099,2.62520945820145
"238",1993-03-31,"M",11474,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",-0.0522648083623665,0.200855820452375
"239",1993-03-31,"N",7427,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",-0.0269215237582472,0.623221785665891
"240",1993-03-31,"O",26607,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",0.135486056226711,-1.17371763919326
"241",1993-03-31,"P",23885,"EDUCATION",0.121562709590876,0.534556780873814
"242",1993-03-31,"Q",17608,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1.84510382324021,1.93944306142535
"243",1993-03-31,"R",5233,"ARTS, ENTERTAINMENT AND RECREATION",1.82914964000777,5.65313951140722
"244",1993-03-31,"S",5523,"OTHER SERVICE ACTIVITIES",2.50556792873051,6.58047086067155
"245",1993-03-31,"T",830,"ACTIVITIES OF HH AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-ACTIVITIES OF HH FOR OWN USE",2.0910209102091,5.73248407643312
"246",1993-03-31,"DE",8511,NA,-3.79789759240421,1.26115407495537
"247",1993-03-31,"AB",11606,NA,-4.61083257992931,-1.9017834502578
"248",1993-06-30,"TOTAL",281780,NA,0.577523004547359,2.56204934829532
"249",1993-06-30,"C",43282,"MANUFACTURING",-0.11077775213478,1.46517570387041
"250",1993-06-30,"F",22540,"CONSTRUCTION",-1.56775405039521,-3.49788072098301
"251",1993-06-30,"G",30462,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1.84894179009663,9.16714449541286
"252",1993-06-30,"H",11088,"TRANSPORTATION AND STORAGE",0.763358778625943,2.98133184731122
